x,y,z,r,g,b
-21.5074,-29.3853,-35.6165,119,112,63
-6.4547,-25.3973,-35.9714,90,94,40
-33.2295,-26.0836,-35.5483,37,40,33
14.7392,-20.7668,-36.4107,148,154,103
-0.4872,-19.1104,-37.1324,136,123,68
-6.2489,-25.2434,-35.9951,123,113,59
10.0989,-21.7044,-36.2662,199,201,163
-47.9792,-17.6958,-35.4057,93,108,119
3.9058,-11.9507,-37.3991,124,120,60
23.8078,-14.7826,-37.9923,194,190,181
16.0125,-6.4453,-37.9073,188,188,188
-5.0234,-22.1862,-36.9823,145,140,101
-12.5710,19.6966,-38.0953,44,47,26
-3.8074,-12.1996,-33.2100,223,224,226
13.4534,-10.0384,-29.7442,221,150,108
11.2658,-21.5408,-36.2228,182,170,133
3.4161,-24.8452,-36.1009,143,126,99
2.8849,38.6438,-34.3310,41,35,41
-30.0588,-23.5855,-36.4964,24,19,24
-6.1142,-26.0672,-35.9877,210,198,179
-1.5084,-0.7884,-25.4287,41,29,28
6.9839,-10.7985,-37.5124,219,213,201
12.3807,-4.4883,-26.2926,249,245,236
-5.9528,-26.1671,-35.9949,164,158,126
8.1728,-19.9505,-37.2643,195,177,137
22.2546,31.7436,-29.8350,136,102,103
-0.3640,-18.2420,-37.1320,91,103,41
5.0543,-24.2869,-36.1778,90,104,43
8.5327,-11.4915,-37.4286,131,130,66
24.1031,27.4047,-38.1250,34,33,37
-5.4702,-25.6524,-35.9718,108,111,64
12.4402,-22.3264,-36.3327,201,195,170
0.1223,-18.0473,-37.1884,86,102,30
-2.1712,-25.0943,-35.9744,99,94,64
-26.8935,26.2763,-38.0369,213,212,202
1.0118,-18.8029,-37.1613,128,126,59
-28.7637,-13.7725,-36.8695,36,33,25
-5.2330,-25.7835,-35.9898,158,150,129
15.1943,27.5886,-38.5675,211,214,209
-1.6973,-20.4510,-37.1264,116,110,53
-0.3382,-24.6961,-31.9104,24,35,25
-15.9739,-18.2120,-37.1923,97,92,94
15.1129,-21.6015,-36.3303,120,123,79
-5.0762,-25.9047,-35.9917,211,207,198
12.9238,9.4956,-35.8244,56,59,63
4.8171,-12.7498,-37.3571,50,52,31
5.2834,-23.8866,-36.1918,99,101,40
-26.1327,25.6211,-37.9197,207,210,205
6.0743,-11.3013,-37.4238,191,179,137
5.7088,-14.2317,-37.3392,42,48,27
-4.5594,-17.9809,-37.0913,45,53,29
-34.6716,-27.3225,-36.3227,19,33,26
5.8312,-11.8120,-37.4056,106,98,51
2.6135,-25.6377,-36.1006,150,138,122
-1.7768,-21.1209,-37.0715,188,165,116
6.2242,-17.2384,-37.3865,81,85,33
-24.2506,-11.0251,-37.0763,117,115,67
14.5034,27.1302,-38.5868,191,190,186
-0.2407,-19.4573,-37.1931,59,59,32
-48.7566,17.1902,-35.7898,112,103,58
-2.1241,-1.9439,-25.2558,222,163,128
-0.2425,-19.4562,-37.1922,59,59,32
14.4110,19.4754,-38.5692,201,209,207
1.5645,-17.5370,-37.2029,109,101,39
1.6234,-26.5585,-36.0111,185,183,184
-7.4195,-25.0841,-36.0584,97,119,53
5.5837,-12.7938,-37.3792,119,116,66
20.9014,-21.4510,-36.4584,192,189,187
17.9641,-12.4203,-37.8835,188,192,191
-4.9491,4.0131,-29.4538,11,15,17
6.7136,-12.1241,-37.3564,204,193,155
-3.8253,-25.6204,-36.0405,141,142,108
-1.3277,-36.7197,-36.1777,56,66,26
24.2964,-14.7981,-37.9572,204,204,192
-37.4594,-15.4823,-31.6763,16,31,9
-18.8906,-21.0476,-36.1783,20,32,11
-1.1296,-21.3712,-37.1288,137,134,83
-26.4501,-27.9771,-36.1975,82,83,48
11.4714,-10.2699,-37.6198,214,210,199
-3.9672,-12.1487,-33.1340,116,128,139
-3.1790,-25.6103,-36.0159,153,145,117
23.5755,-14.6220,-38.0365,189,194,181
4.6426,-15.6375,-37.3488,131,120,75
26.5884,-13.3790,-38.1784,204,203,198
18.1913,-21.5484,-36.3869,186,184,181
13.5750,14.0298,-35.8060,231,239,237
1.2877,-12.1015,-36.2575,234,238,241
-2.2448,-25.6375,-36.0378,149,140,114
1.2096,-35.8772,-36.2086,181,165,135
0.3483,-21.5549,-37.0411,44,48,23
5.9442,-24.9576,-36.1473,176,177,164
-36.6229,-13.6610,-32.6630,88,118,32
22.5725,-14.1587,-38.0629,155,152,112
-23.0845,-11.1941,-37.0333,99,98,42
0.9466,-20.8164,-37.0684,85,92,49
-31.6306,-27.7218,-36.0270,86,93,59
1.3235,-20.3328,-37.0976,138,134,94
2.7945,-25.7176,-36.1091,190,187,180
4.3076,-10.4266,-33.8537,187,192,196
1.7626,-19.9956,-37.1277,114,110,54
17.5831,-21.6679,-36.3842,177,169,148
-27.3420,-2.7113,-34.9233,5,12,19
-3.8177,-12.0909,-35.1456,202,206,215
5.8393,-15.1393,-37.3344,124,128,70
19.3480,-16.7220,-37.4568,32,44,20
22.7952,-15.1205,-37.9107,113,123,72
-18.8906,-21.0476,-36.1783,20,32,11
0.7469,-21.4248,-37.0778,145,133,89
25.3308,-14.1351,-38.1511,134,127,73
15.7078,26.5884,-38.6028,185,188,191
4.2884,-17.2373,-37.3090,101,99,40
-10.3259,-26.7293,-35.9138,124,121,70
-10.8236,-24.2453,-36.7751,154,139,102
8.3463,-17.7479,-37.2784,115,106,51
14.1296,2.9233,-36.4700,25,40,16
-23.8805,15.3330,-37.9672,70,77,88
4.2920,-17.2401,-37.3016,101,99,40
-35.2153,-16.0195,-36.9228,97,95,46
1.3922,-21.0278,-37.1811,189,178,130
0.9095,-26.8039,-36.0613,223,230,229
-25.1907,-27.2169,-35.9700,81,90,54
-28.4535,-12.3532,-37.1399,139,116,79
1.3936,-21.0285,-37.1789,189,178,130
-1.0419,-25.4497,-36.0361,102,99,62
25.6746,-14.0192,-38.2028,197,196,188
12.7553,-10.2541,-37.5564,209,205,193
18.7474,-15.7521,-37.8019,81,91,42
0.0707,-24.2778,-35.9980,33,41,24
-27.9724,21.2538,-37.2062,67,85,39
-28.5631,-13.7420,-35.5736,46,49,27
2.0845,-20.9526,-37.0677,178,160,116
-18.0905,34.3613,-36.1777,39,37,36
9.3982,-16.3065,-37.3740,151,142,99
-36.6936,-14.8339,-32.6831,63,87,29
2.9417,-19.8562,-37.1708,165,146,104
-15.1824,33.2629,-38.0308,59,32,25
0.3268,-24.2409,-35.9960,156,140,104
4.1169,-18.5635,-37.2511,156,143,90
7.1267,-10.7715,-37.5270,217,211,197
3.6242,-26.0993,-36.1179,182,186,181
-20.3062,-10.5886,-36.7259,66,60,44
-0.0307,-24.6722,-36.0903,135,131,103
21.8905,26.4917,-37.7116,75,60,65
2.4287,-20.8143,-37.1474,187,172,127
3.0932,-25.3079,-36.1130,185,172,159
22.8926,26.5278,-37.5550,21,32,35
-16.3503,-27.6312,-35.8687,88,100,44
12.3657,-39.0624,-36.6690,68,71,25
2.7100,-20.6221,-37.1472,180,169,122
-0.7020,-25.8566,-36.0496,219,215,204
-0.2165,-35.1227,-36.2202,45,55,51
12.6105,-12.2723,-37.4753,128,134,84
2.3923,-17.6733,-37.2328,125,114,55
8.0055,46.9214,-39.9198,69,70,89
3.0862,-20.2934,-37.1720,178,167,117
-11.9896,34.0375,-38.1891,201,208,205
-18.6562,-11.6439,-32.7727,74,97,18
4.1111,-19.0456,-37.2470,99,104,40
-10.0923,44.7281,-30.1073,41,43,48
9.6488,-17.7492,-37.3891,73,77,27
24.3205,-19.0234,-35.2613,12,27,6
4.1897,-19.3717,-37.2204,116,110,50
-16.2099,19.1454,-33.0032,181,184,176
1.0130,-24.3991,-36.0701,92,92,39
-8.2091,-23.5243,-36.8470,90,91,41
9.6142,-19.8601,-37.1500,81,84,31
-12.1301,-23.8162,-36.8153,70,77,32
-17.0229,37.5030,-34.5080,50,49,56
-35.4255,-1.7520,-24.8732,52,33,25
5.8865,-17.5079,-37.3245,92,91,35
11.8053,-14.7461,-37.4838,156,152,107
12.1697,30.1682,-38.5625,215,217,206
11.8689,-10.3693,-37.5519,209,205,192
-12.3147,35.0888,-37.6358,40,39,36
10.3247,-17.2229,-37.3522,111,102,44
-17.2873,-28.8377,-35.8111,146,137,106
-12.5320,-24.7914,-36.7774,98,97,45
8.5520,43.7782,-40.6888,32,35,39
6.2784,-17.5935,-37.3061,168,147,96
0.5756,-25.6370,-36.0664,204,200,191
-6.3430,-35.4052,-36.0888,224,225,224
21.2796,-5.3021,-35.5011,243,244,240
23.1793,-21.2188,-36.4951,139,140,135
-34.0136,36.2767,-37.7888,90,73,82
1.5651,-24.7810,-36.0859,169,152,115
-36.2028,-16.0900,-32.7557,18,53,11
6.3077,-18.2165,-37.3194,160,149,104
4.0146,-18.2901,-37.2735,95,107,48
11.3257,-17.1120,-37.3938,129,120,71
22.8094,26.6612,-37.2126,200,195,201
12.9256,-14.3829,-37.4530,37,47,28
1.3029,-25.3731,-36.0576,121,119,96
5.2570,-19.7458,-37.1949,146,141,97
-30.3105,-23.3939,-36.7730,55,64,61
1.3589,-25.2812,-36.0719,131,126,94
-32.5281,36.5731,-37.8797,80,66,65
7.9332,61.3202,-38.7120,163,167,174
-0.1176,-27.1108,-36.0339,194,194,189
2.1405,-23.4426,-36.0807,177,184,126
4.4105,-1.2974,-25.3346,224,165,130
5.2543,-19.7432,-37.2009,149,139,95
0.0952,-27.0837,-36.0164,199,195,194
-10.3118,20.1904,-38.1565,197,191,179
-0.9959,-16.3416,-37.1317,96,102,46
19.6734,-15.3040,-37.9317,201,195,188
-31.5243,-11.7573,-34.2206,158,165,171
12.3097,-11.5128,-37.4819,189,169,124
7.1705,-22.4567,-36.2430,129,125,70
4.0735,-21.0317,-37.0889,114,121,61
8.1927,-19.8182,-37.2248,139,134,95
-36.7195,-3.3219,-25.0684,216,129,92
-28.8857,39.3911,-38.1667,81,75,79
0.4462,-27.0211,-36.0548,199,195,192
-38.0581,-18.4537,-33.6732,17,28,2
13.3496,36.0255,-38.1536,55,61,75
0.8695,-26.6748,-36.0448,184,187,185
1.9124,-25.4888,-36.0618,176,167,157
-45.6262,17.7449,-33.5595,199,204,224
6.8161,-18.6668,-37.2892,98,101,51
-55.4076,32.5916,-34.0393,64,86,89
7.2089,-18.6100,-37.3266,95,98,51
18.2910,-13.1164,-37.8885,91,96,102
6.0853,-19.7419,-37.2503,91,100,42
-7.5976,-2.0806,-25.3360,100,60,63
7.7264,-17.9676,-37.2737,192,184,147
4.1571,-29.6537,-36.2304,233,232,228
-23.3513,-30.0091,-35.8533,133,131,95
1.5559,-11.7807,-32.0038,234,238,239
7.1439,-18.8535,-37.2568,84,77,28
2.5473,-25.5213,-36.0858,177,176,162
18.4246,-10.8307,-37.9049,202,206,204
23.1293,-4.8954,-37.2115,125,130,133
-18.9232,32.8763,-37.4371,64,85,54
3.0330,-25.7181,-36.1361,196,193,184
-2.4731,-34.6345,-36.1836,156,150,153
-9.4135,-4.2005,-25.6568,73,76,78
16.5123,-8.2992,-37.9842,125,128,102
-34.0398,-15.5684,-36.9664,106,108,55
13.2715,-18.7897,-37.4193,193,178,137
4.5271,-24.1334,-36.0991,172,157,115
22.1180,-14.3151,-38.0249,152,138,108
-13.8898,-26.9647,-35.8360,149,158,117
4.5254,-24.1378,-36.1028,172,157,115
19.6916,-13.1391,-37.9443,142,148,103
11.6340,-5.9348,-26.6654,113,104,105
-28.9216,-13.5987,-36.4577,30,35,16
5.3938,-23.0012,-36.2143,138,124,80
2.3513,28.2195,-37.7903,74,82,92
11.6784,-14.7604,-37.4823,55,52,25
10.9688,-23.0946,-36.2808,85,97,61
12.2619,-5.6828,-26.6644,105,114,131
11.6814,-15.0404,-37.3982,108,94,49
7.5875,-19.9844,-37.2615,174,160,110
11.8868,-16.7698,-37.4182,165,148,110
-34.7969,-22.3380,-36.6890,171,167,158
12.6139,-18.8536,-37.4055,148,149,108
9.7522,-17.5650,-37.3751,165,152,115
22.7285,-15.2203,-37.8752,156,154,115
9.1242,33.0443,-38.1307,171,184,190
10.3397,-16.9570,-37.3582,105,100,46
29.1258,-4.6415,-33.8518,166,171,175
0.6895,16.4609,-37.8869,28,27,18
6.4344,-22.7126,-36.2533,117,106,50
-2.1738,-34.5484,-36.2496,158,148,152
-3.9002,-34.9503,-36.1709,156,151,151
14.2589,-22.5983,-36.3261,123,127,95
3.8628,-25.9434,-36.1517,206,202,193
2.1618,27.6762,-37.5709,55,65,71
-18.8331,-9.6686,-32.3681,14,39,11
11.9864,-15.3487,-37.4905,94,92,41
7.9725,-28.8941,-36.3025,231,231,230
13.1803,-6.3637,-26.9607,221,149,102
-25.2068,0.5411,-25.8292,73,39,30
5.4052,-24.8067,-36.0990,57,68,30
4.8606,-25.5233,-36.1423,154,145,126
14.5855,-22.0455,-36.3321,195,185,163
-12.4181,25.7738,-38.4628,179,179,179
25.6279,-5.0003,-38.1609,191,186,179
12.4090,-15.8552,-37.4936,158,147,96
-7.3822,42.3282,-38.1866,208,214,213
-18.6756,-10.8138,-32.1578,93,121,35
12.4090,-15.8552,-37.4936,158,147,96
-0.5173,-36.3423,-36.2917,161,144,128
13.9308,-22.6730,-36.3126,129,125,98
10.5997,-18.1445,-37.3314,102,100,52
-20.4909,33.1890,-37.7134,58,79,60
23.3672,31.7776,-35.2674,217,229,232
12.5576,-15.9001,-37.4697,122,107,54
-15.0566,-27.6681,-35.8689,90,96,45
6.6909,-18.0792,-37.2911,155,153,106
-26.5108,-26.7344,-36.0865,25,28,18
-42.7064,20.4651,-35.4389,184,185,178
12.8700,-15.5747,-37.5261,144,136,92
-38.1672,-17.0372,-37.2327,56,60,61
5.8263,-25.0752,-36.1354,113,116,84
0.1941,-26.3271,-36.0356,217,212,203
-7.4736,-7.0055,-26.4253,210,123,90
-26.4352,-27.0348,-35.8041,25,22,23
6.3539,-24.8413,-36.1648,189,176,170
12.5778,-31.9201,-36.7398,154,149,149
6.3518,-24.8415,-36.1721,189,176,170
23.7521,-14.8384,-37.9861,198,205,193
1.1179,-37.0249,-36.2928,75,73,43
14.3391,-21.8451,-36.3131,123,130,88
6.4563,-24.7896,-36.1993,145,135,116
-12.5632,35.1083,-38.0022,34,30,31
-19.7604,-12.4293,-32.0420,15,26,8
6.4563,-24.7896,-36.1993,145,135,116
12.8120,19.1139,-36.9748,189,196,203
4.7770,-20.2779,-37.1574,98,101,47
8.8922,-21.9972,-36.2307,194,190,146
4.1849,41.3898,-34.9646,31,31,34
8.8922,-21.9972,-36.2307,194,190,146
-18.5893,-2.9585,-36.8639,18,23,21
27.1664,-4.6457,-36.3234,111,128,130
-1.4135,-34.3980,-36.2176,159,148,149
-3.9838,-34.8751,-36.1113,232,229,231
10.8805,-20.7184,-36.2028,36,52,12
9.1621,-21.9939,-36.2545,111,116,56
1.9832,-21.1353,-37.0634,143,128,77
7.6756,-23.7820,-36.2492,93,101,61
-16.4960,-26.8167,-36.0995,114,124,76
-0.4836,-25.7081,-36.0563,202,199,186
5.0864,-11.3635,-37.5149,205,191,154
7.7057,-23.8905,-36.2306,198,194,182
-42.0973,25.7174,-35.3746,213,209,199
20.6006,-5.3899,-36.6646,242,243,245
25.6970,-4.8997,-33.6627,62,76,153
-5.8022,-37.0861,-36.1943,151,149,150
3.6361,-26.3678,-36.1136,203,198,195
-1.5221,-15.4158,-37.1414,38,46,25
25.6970,-4.8997,-33.6627,62,76,153
-21.1859,-13.7541,-37.1420,164,162,150
12.7606,-17.1861,-37.5129,114,106,51
28.7305,-4.8009,-38.1673,194,189,182
-4.2715,-34.9404,-36.1448,226,225,223
6.1318,26.3057,-37.7036,237,223,199
25.9314,-4.8017,-33.5884,159,171,187
2.8440,-20.0058,-37.1791,89,92,34
11.3179,-10.4599,-34.6870,231,236,239
25.9302,-4.8004,-33.5805,159,171,187
-6.2821,41.6729,-38.5168,226,223,211
4.9123,-17.9287,-37.2541,144,129,70
7.4768,-24.4980,-36.2219,201,188,185
4.4362,-19.7672,-37.1570,109,108,49
-0.8200,-34.2727,-36.2156,158,152,152
-16.1583,-27.6976,-35.8609,122,121,70
4.2821,-19.6659,-37.2041,178,170,117
6.1702,-11.2122,-37.4594,212,194,159
0.1354,36.9696,-32.7410,129,130,124
11.7847,-18.7638,-37.3841,103,105,47
-37.5578,35.9709,-37.7921,59,46,47
9.7510,-22.3629,-36.1878,98,102,46
-0.6394,-26.0378,-36.0493,190,184,172
-15.3306,-27.7746,-35.8354,98,100,47
29.3316,-4.7759,-38.1870,195,192,186
9.4571,-22.8264,-36.2625,115,117,72
10.1430,-22.2767,-36.1924,102,107,62
16.6378,-12.9618,-37.7297,22,34,16
32.3018,-20.2157,-36.4665,75,84,48
2.5413,-20.6866,-37.1197,123,115,61
8.6467,-24.0367,-36.2330,162,149,130
7.2454,-17.3626,-37.3480,151,149,105
-14.8647,32.8761,-37.8303,49,28,16
13.2501,-18.0870,-37.5095,100,101,45
-30.9140,-21.5999,-37.3494,184,179,166
8.0174,-15.1006,-37.3293,97,103,44
9.5476,-23.9099,-36.2399,172,161,143
14.3692,-16.7997,-37.5027,104,102,52
10.8889,-22.2876,-36.3041,187,167,140
-16.1620,-34.0224,-35.9316,226,226,221
0.7244,-25.4581,-36.0590,138,126,97
13.4649,-9.7498,-29.5680,217,144,103
10.8889,-22.2876,-36.3041,187,167,140
4.5220,42.4192,-36.6604,42,41,38
17.7907,-13.6969,-37.8104,59,63,48
0.7359,-24.9987,-36.0796,182,171,146
18.7435,-0.8014,-38.1508,230,226,222
17.7791,-13.7019,-37.7991,59,63,48
5.8608,-18.3380,-37.3843,156,148,97
-43.8552,19.6796,-35.6369,192,185,181
18.3442,-13.4176,-37.8607,181,192,181
-18.6158,31.8567,-37.2187,50,62,27
1.5446,-23.6378,-36.1959,127,124,73
10.8723,-23.5716,-36.2721,160,144,132
5.4370,-24.1985,-36.1217,77,82,36
4.0902,41.5488,-36.7058,51,51,54
13.1874,-21.1487,-36.2362,71,94,39
-26.4159,-30.5913,-35.7844,111,109,63
0.2634,-25.9117,-36.0502,219,213,204
19.7689,-12.3917,-37.9775,212,208,205
5.2133,-25.2597,-36.1132,192,192,181
11.8151,-23.1362,-36.2998,195,188,180
27.9024,-4.6299,-31.6681,206,211,221
13.1890,-10.1802,-37.5734,200,200,185
-1.0197,-13.0883,-37.3125,131,125,69
-17.2195,-24.6507,-36.2383,24,21,15
19.3423,-13.1647,-37.9440,204,198,184
9.1204,48.9564,-38.6630,215,212,203
11.3756,-23.7844,-36.2637,169,162,144
6.2511,-17.8012,-37.3100,170,153,101
-22.2524,-29.4743,-35.7062,142,130,85
7.8889,26.3170,-38.5151,74,97,39
12.3211,-22.8576,-36.2864,166,154,135
7.7033,-28.4196,-36.2886,199,193,182
3.7353,-20.6405,-37.1269,181,178,134
8.4650,-33.3887,-36.4214,84,93,45
7.7033,-28.4196,-36.2886,199,193,182
9.7620,-21.6888,-36.1587,157,165,124
-2.4125,38.4776,-31.6720,194,202,207
13.2121,-21.9732,-36.3110,90,94,45
1.2333,-24.6198,-36.0598,91,101,49
-19.6443,-9.1230,-31.8653,122,138,45
11.8084,-23.7088,-36.2529,156,154,140
-9.1870,-23.2483,-36.8963,206,199,158
-53.9999,29.5419,-37.0620,12,18,11
29.6920,-4.5961,-33.3214,153,168,171
1.4285,-26.5517,-36.0859,173,173,166
2.5977,38.0743,-36.9095,136,144,132
13.9304,2.8366,-36.1431,22,34,18
13.2005,-22.1735,-36.2904,191,185,173
-33.6007,-29.0082,-36.0185,103,109,68
13.6843,-21.3405,-36.3576,106,106,54
-48.5656,-9.3456,-27.0856,28,31,29
-38.3190,-5.4472,-25.4706,223,224,225
12.2263,-23.3898,-36.2513,133,135,109
18.5940,28.7730,-38.0404,68,67,37
12.3077,-23.3064,-36.2805,117,117,93
-34.4605,-3.1163,-25.0841,209,117,82
6.7287,-20.0524,-37.2304,163,148,93
11.7313,-24.0557,-36.2652,206,203,198
8.8901,-17.8301,-37.3543,112,100,49
-19.9124,-29.1951,-35.6877,167,160,126
12.4670,-23.3246,-36.2682,135,133,117
-30.3412,36.4320,-37.5123,221,225,229
13.6786,-22.1326,-36.3180,171,164,132
1.2359,-26.5911,-36.0736,179,181,178
1.7921,29.6633,-37.0878,205,202,190
5.9774,-20.7864,-36.9871,106,113,55
18.0529,28.7962,-38.6179,63,58,32
13.0499,-23.3793,-36.2825,209,206,201
13.0482,-23.3780,-36.2847,209,206,201
7.1836,-11.0832,-37.5368,200,188,151
3.1047,28.8297,-37.1034,235,240,241
2.1891,-26.4111,-36.0798,187,186,181
-25.1907,-27.2169,-35.9700,81,90,54
14.6818,-21.5862,-36.2918,90,111,57
13.7484,9.2867,-35.5936,50,55,58
13.6066,-23.0142,-36.2917,143,141,134
8.2434,55.0342,-38.2298,208,225,225
-28.6548,19.8801,-34.5245,16,17,16
14.3578,-22.2347,-36.3280,187,179,171
15.2261,-17.7431,-37.4875,169,155,112
3.1919,-24.6224,-36.1090,105,104,74
3.9947,-10.9376,-29.6111,218,150,104
-19.0037,-9.9161,-32.0460,58,78,20
13.8267,11.1951,-36.1382,192,188,180
13.5529,-23.2826,-36.2810,165,156,144
19.4322,-15.4749,-37.8571,195,194,174
-0.8414,25.5172,-37.6446,53,67,23
-16.7998,42.8124,-38.5260,29,31,26
2.8801,-24.1870,-36.0929,76,85,30
14.7580,-22.0259,-36.3266,154,143,119
0.5605,-25.4676,-36.0263,196,191,172
6.2131,-20.3233,-37.0823,150,139,96
14.7046,-22.2148,-36.3323,147,139,116
7.6578,-18.6598,-37.2818,176,166,128
14.7046,-22.2148,-36.3323,147,139,116
-3.8888,-24.8899,-35.9703,220,220,209
14.2025,-22.9092,-36.2987,134,130,125
-2.1489,-13.5376,-37.2751,107,115,63
8.0420,-19.0772,-37.2874,115,104,59
11.4533,32.9244,-38.4556,154,154,151
-15.7907,-27.3986,-35.8398,152,160,113
15.0493,-22.1445,-36.3302,168,160,143
15.0476,-22.5712,-36.3125,206,206,197
19.0060,-15.6094,-37.7265,136,136,78
10.2383,-15.8323,-37.3510,147,127,84
2.4691,-10.6973,-32.0163,114,132,148
21.5257,-14.1000,-38.0236,149,146,112
-21.9722,-26.0911,-35.6512,112,130,75
23.7580,12.1184,-32.5534,92,100,108
15.1360,-22.6712,-36.2702,169,168,153
-0.9678,27.6831,-37.0283,40,50,65
16.5055,-7.5923,-37.9360,187,192,182
2.1919,36.3635,-38.1779,191,77,56
14.9461,-22.9071,-36.3009,208,205,199
11.5996,-11.9151,-37.4187,139,139,94
-7.2906,-23.0158,-37.1918,149,134,94
16.6013,-21.0464,-36.2828,163,152,119
7.2972,-19.6522,-37.2111,106,108,44
16.3722,-21.6426,-36.3358,85,88,54
2.0343,-20.1506,-37.1047,234,230,207
16.3205,-21.7692,-36.3407,180,177,160
2.4313,-10.7492,-37.2538,67,91,111
6.7713,-22.4679,-36.1243,59,77,25
-14.9214,-27.0825,-35.8411,63,84,35
-5.3845,-25.5080,-35.8647,118,116,75
15.4197,-22.9092,-36.3110,200,193,185
21.8357,-5.3219,-36.0716,97,99,98
21.3706,-15.5192,-37.8363,172,162,130
21.9154,-13.9840,-38.0482,163,155,119
8.2804,-19.0781,-37.2694,113,109,50
-14.5111,-25.2949,-36.6389,94,86,48
-10.4935,-26.0492,-35.6164,60,83,41
16.2900,-22.5228,-36.3378,169,165,166
-13.8469,24.5882,-38.2576,95,102,102
16.5858,-22.3003,-36.3237,160,147,133
7.0811,-19.7546,-37.2445,110,112,51
-14.8248,18.4760,-37.9746,96,98,44
